Betrieb;Rechnung;Rechnungsdatum;Betrag;Zahlung_am;Zahlung_Beleg;Ueberschuss_Betrieb
Music Bar B70;2026-04-0140;2025-12-05;113.50;2025-12-08;020_2025_12_08_0746_00011350;340.50
Music Bar B70;2026-04-0289;2026-01-23;113.50;2026-01-26;020_2026_01_26_0746_00011350;340.50
Music Bar B70;2026-04-0411;2026-03-06;113.50;2026-03-09;020_2026_03_09_0746_00011350;340.50
Neustadt;011_2019_09_17_0049_00006785;2019-09-17;67.85;2020-10-25;019_2020_10_25_0049_00006785;135.70
Neustadt;011_2019_12_09_0049_00006785;2019-12-09;67.85;2020-10-25;019_2020_10_25_0049_00006785;135.70
Ninos;2026-04-0176;2025-12-18;113.50;2026-01-19;020_2026_01_19_0177_00011350;227.00
Ninos;2026-04-0269;2026-01-19;113.50;2026-01-19;020_2026_01_19_0177_00011350;227.00
Ochsen 2;2026-04-0193;2025-12-24;74.60;2026-02-19;020_2026_02_19_0363_00007460;74.60
Padelta;011_2024_06_13_0686_00007460;2024-06-13;74.60;;kein betragsgleicher Treffer;74.80
Pizolstuebli;2026-04-0164;2025-12-12;74.60;2025-12-29;020_2025_12_29_0271_00007460;149.20
Pizolstuebli;2026-04-0305;2026-01-30;74.60;2026-02-27;020_2026_02_27_0271_00007460;149.20
Pizzeria Tennishalle;011_2025_02_14_0712_00007460;2025-02-14;74.60;2025-04-07;020_2025_04_07_0712_00007460;74.60
Portal;011_2023_07_05_0384_00009370;2023-07-05;93.70;;kein betragsgleicher Treffer;188.10
Portal;2026-04-0123;2025-12-03;94.05;2025-12-10;020_2025_12_10_0384_00009405;188.10
Posthotel;2026-04-0119;2025-12-02;145.95;2026-02-12;020_2026_02_12_0390_00014595;145.95
Postresidenz am See;011_2024_04_17_0662_00009405;2024-04-17;94.05;2024-04-18;020_2024_04_18_0662_00009405;126.00
Pradaschier;2026-04-0152;2025-12-09;74.60;2025-12-18;020_2025_12_18_0058_00007460;74.60
Raben;011_2025_10_03_0681_00009405;2025-10-03;94.05;2026-02-13;020_2026_02_13_0681_00009405;94.05
